timestamp,blue_starts,player1_type,player1_depth,player2_type,player2_depth,winner,blue_score,pink_score,winner_score,loser_score,player1_total_time,player1_moves,player1_avg_time_ms,player2_total_time,player2_moves,player2_avg_time_ms
2025-12-11T16:19:57.189689,True,RandomAI,-,AIPlayer,1,PINK,17,47,47,17,0.002,30,0.1,0.062,30,2.1
2025-12-11T16:19:57.228758,False,AIPlayer,1,RandomAI,-,BLUE,36,28,36,28,0.031,30,1.0,0.001,30,0.0
2025-12-11T16:19:57.271722,True,RandomAI,-,AIPlayer,1,BLUE,42,22,42,22,0.001,31,0.0,0.036,29,1.2
2025-12-11T16:19:57.315576,False,AIPlayer,1,RandomAI,-,BLUE,42,22,42,22,0.037,30,1.2,0.001,30,0.0
2025-12-11T16:19:57.357265,True,RandomAI,-,AIPlayer,1,PINK,19,45,45,19,0.001,30,0.0,0.035,30,1.2
2025-12-11T16:19:57.403244,False,AIPlayer,1,RandomAI,-,BLUE,47,17,47,17,0.039,31,1.3,0.001,29,0.0
2025-12-11T16:19:57.448454,True,RandomAI,-,AIPlayer,1,PINK,27,37,37,27,0.001,30,0.0,0.038,30,1.3
2025-12-11T16:19:57.495914,False,AIPlayer,1,RandomAI,-,BLUE,47,17,47,17,0.04,30,1.3,0.001,30,0.0
2025-12-11T16:19:57.538399,True,RandomAI,-,AIPlayer,1,PINK,21,43,43,21,0.001,29,0.0,0.035,31,1.1
2025-12-11T16:19:57.574968,False,AIPlayer,1,RandomAI,-,BLUE,34,30,34,30,0.03,30,1.0,0.001,30,0.0
2025-12-11T16:19:57.609948,True,RandomAI,-,AIPlayer,1,BLUE,46,18,46,18,0.001,31,0.0,0.028,29,1.0
2025-12-11T16:19:57.653734,False,AIPlayer,1,RandomAI,-,BLUE,37,27,37,27,0.037,30,1.2,0.001,30,0.0
2025-12-11T16:19:57.696795,True,RandomAI,-,AIPlayer,1,PINK,27,37,37,27,0.001,29,0.0,0.036,31,1.2
2025-12-11T16:19:57.740466,False,AIPlayer,1,RandomAI,-,BLUE,42,22,42,22,0.037,30,1.2,0.001,30,0.0
2025-12-11T16:19:57.786014,True,RandomAI,-,AIPlayer,1,PINK,22,42,42,22,0.001,30,0.0,0.039,30,1.3
2025-12-11T16:19:57.833321,False,AIPlayer,1,RandomAI,-,BLUE,45,19,45,19,0.041,30,1.4,0.001,30,0.0
2025-12-11T16:19:57.875825,True,RandomAI,-,AIPlayer,1,PINK,21,43,43,21,0.001,30,0.0,0.036,30,1.2
2025-12-11T16:19:57.920887,False,AIPlayer,1,RandomAI,-,PINK,31,33,33,31,0.038,30,1.3,0.001,30,0.0
2025-12-11T16:19:57.965874,True,RandomAI,-,AIPlayer,1,PINK,26,38,38,26,0.001,30,0.0,0.038,30,1.3
2025-12-11T16:19:58.009232,False,AIPlayer,1,RandomAI,-,BLUE,35,29,35,29,0.037,31,1.2,0.001,29,0.0
2025-12-11T16:19:58.050283,True,RandomAI,-,AIPlayer,1,PINK,14,50,50,14,0.001,30,0.0,0.034,30,1.1
2025-12-11T16:19:58.093664,False,AIPlayer,1,RandomAI,-,PINK,28,36,36,28,0.037,30,1.2,0.001,30,0.0
2025-12-11T16:19:58.136811,True,RandomAI,-,AIPlayer,1,PINK,16,48,48,16,0.001,31,0.0,0.036,29,1.2
2025-12-11T16:19:58.184737,False,AIPlayer,1,RandomAI,-,BLUE,45,19,45,19,0.041,30,1.4,0.001,30,0.0
2025-12-11T16:19:58.230713,True,RandomAI,-,AIPlayer,1,PINK,16,48,48,16,0.001,30,0.0,0.039,30,1.3
2025-12-11T16:19:58.276978,False,AIPlayer,1,RandomAI,-,BLUE,38,26,38,26,0.039,29,1.4,0.001,31,0.0
2025-12-11T16:19:58.318541,True,RandomAI,-,AIPlayer,1,PINK,24,40,40,24,0.001,30,0.0,0.035,30,1.2
2025-12-11T16:19:58.363878,False,AIPlayer,1,RandomAI,-,BLUE,39,25,39,25,0.038,30,1.3,0.001,30,0.0
2025-12-11T16:19:58.404299,True,RandomAI,-,AIPlayer,1,PINK,20,44,44,20,0.001,30,0.0,0.033,30,1.1
2025-12-11T16:19:58.444157,False,AIPlayer,1,RandomAI,-,BLUE,39,25,39,25,0.033,30,1.1,0.001,30,0.0
2025-12-11T16:19:58.490414,True,RandomAI,-,AIPlayer,1,PINK,18,46,46,18,0.001,30,0.0,0.039,30,1.3
2025-12-11T16:19:58.530323,False,AIPlayer,1,RandomAI,-,BLUE,37,27,37,27,0.033,30,1.1,0.001,30,0.0
2025-12-11T16:19:58.575747,True,RandomAI,-,AIPlayer,1,PINK,22,42,42,22,0.001,30,0.0,0.038,30,1.3
2025-12-11T16:19:58.616745,False,AIPlayer,1,RandomAI,-,BLUE,60,4,60,4,0.034,31,1.1,0.001,29,0.0
2025-12-11T16:19:58.660564,True,RandomAI,-,AIPlayer,1,PINK,24,40,40,24,0.001,30,0.0,0.037,30,1.2
2025-12-11T16:19:58.705676,False,AIPlayer,1,RandomAI,-,PINK,26,38,38,26,0.038,30,1.3,0.001,30,0.0
2025-12-11T16:19:58.744518,True,RandomAI,-,AIPlayer,1,BLUE,36,28,36,28,0.001,30,0.0,0.032,30,1.1
2025-12-11T16:19:58.788407,False,AIPlayer,1,RandomAI,-,BLUE,54,10,54,10,0.037,31,1.2,0.001,29,0.0
2025-12-11T16:19:58.828032,True,RandomAI,-,AIPlayer,1,PINK,31,33,33,31,0.001,31,0.0,0.033,29,1.1
2025-12-11T16:19:58.871346,False,AIPlayer,1,RandomAI,-,BLUE,59,5,59,5,0.036,31,1.2,0.001,29,0.0
2025-12-11T16:19:58.919798,True,RandomAI,-,AIPlayer,1,BLUE,33,31,33,31,0.001,31,0.0,0.042,29,1.4
2025-12-11T16:19:58.964250,False,AIPlayer,1,RandomAI,-,PINK,28,36,36,28,0.038,30,1.3,0.001,30,0.0
2025-12-11T16:19:59.009094,True,RandomAI,-,AIPlayer,1,PINK,17,47,47,17,0.001,30,0.0,0.038,30,1.3
2025-12-11T16:19:59.049067,False,AIPlayer,1,RandomAI,-,BLUE,54,10,54,10,0.033,31,1.1,0.001,29,0.0
2025-12-11T16:19:59.096652,True,RandomAI,-,AIPlayer,1,PINK,15,49,49,15,0.001,30,0.0,0.041,30,1.4
2025-12-11T16:19:59.144436,False,AIPlayer,1,RandomAI,-,PINK,31,33,33,31,0.041,30,1.4,0.001,30,0.0
2025-12-11T16:19:59.190627,True,RandomAI,-,AIPlayer,1,PINK,26,38,38,26,0.001,30,0.0,0.039,30,1.3
2025-12-11T16:19:59.236632,False,AIPlayer,1,RandomAI,-,BLUE,43,21,43,21,0.039,30,1.3,0.001,30,0.0
2025-12-11T16:19:59.284775,True,RandomAI,-,AIPlayer,1,PINK,30,34,34,30,0.001,31,0.0,0.041,29,1.4
2025-12-11T16:19:59.335762,False,AIPlayer,1,RandomAI,-,BLUE,35,29,35,29,0.044,30,1.5,0.001,30,0.0
2025-12-11T16:19:59.374126,True,RandomAI,-,AIPlayer,1,PINK,17,47,47,17,0.001,30,0.0,0.031,30,1.0
2025-12-11T16:19:59.419016,False,AIPlayer,1,RandomAI,-,BLUE,45,19,45,19,0.038,30,1.3,0.001,30,0.0
2025-12-11T16:19:59.464273,True,RandomAI,-,AIPlayer,1,PINK,15,49,49,15,0.001,30,0.0,0.038,30,1.3
2025-12-11T16:19:59.514518,False,AIPlayer,1,RandomAI,-,BLUE,38,26,38,26,0.043,30,1.4,0.001,30,0.0
2025-12-11T16:19:59.558139,True,RandomAI,-,AIPlayer,1,PINK,18,46,46,18,0.001,30,0.0,0.037,30,1.2
2025-12-11T16:19:59.600202,False,AIPlayer,1,RandomAI,-,BLUE,33,31,33,31,0.035,30,1.2,0.001,30,0.0
2025-12-11T16:19:59.641549,True,RandomAI,-,AIPlayer,1,PINK,17,47,47,17,0.001,30,0.0,0.034,30,1.1
2025-12-11T16:19:59.691223,False,AIPlayer,1,RandomAI,-,BLUE,37,27,37,27,0.043,30,1.4,0.001,30,0.0
2025-12-11T16:19:59.733295,True,RandomAI,-,AIPlayer,1,PINK,29,35,35,29,0.001,30,0.0,0.035,30,1.2
2025-12-11T16:19:59.779417,False,AIPlayer,1,RandomAI,-,BLUE,39,25,39,25,0.039,30,1.3,0.001,30,0.0
2025-12-11T16:19:59.825174,True,RandomAI,-,AIPlayer,1,PINK,30,34,34,30,0.001,31,0.0,0.038,29,1.3
2025-12-11T16:19:59.864167,False,AIPlayer,1,RandomAI,-,BLUE,44,20,44,20,0.032,30,1.1,0.001,30,0.0
2025-12-11T16:19:59.908640,True,RandomAI,-,AIPlayer,1,PINK,18,46,46,18,0.001,30,0.0,0.037,30,1.2
2025-12-11T16:19:59.958134,False,AIPlayer,1,RandomAI,-,BLUE,34,30,34,30,0.042,30,1.4,0.001,30,0.0
2025-12-11T16:20:00.002972,True,RandomAI,-,AIPlayer,1,PINK,25,39,39,25,0.001,30,0.0,0.038,30,1.3
2025-12-11T16:20:00.051363,False,AIPlayer,1,RandomAI,-,BLUE,41,23,41,23,0.041,30,1.4,0.001,30,0.0
2025-12-11T16:20:00.100356,True,RandomAI,-,AIPlayer,1,PINK,25,39,39,25,0.001,30,0.0,0.042,30,1.4
2025-12-11T16:20:00.146092,False,AIPlayer,1,RandomAI,-,BLUE,35,29,35,29,0.039,30,1.3,0.001,30,0.0
2025-12-11T16:20:00.190250,True,RandomAI,-,AIPlayer,1,PINK,26,38,38,26,0.001,30,0.0,0.037,30,1.2
2025-12-11T16:20:00.236162,False,AIPlayer,1,RandomAI,-,PINK,20,44,44,20,0.039,30,1.3,0.001,30,0.0
2025-12-11T16:20:00.280614,True,RandomAI,-,AIPlayer,1,PINK,16,48,48,16,0.001,30,0.0,0.037,30,1.2
2025-12-11T16:20:00.324732,False,AIPlayer,1,RandomAI,-,BLUE,50,14,50,14,0.037,30,1.2,0.001,30,0.0
2025-12-11T16:20:00.367590,True,RandomAI,-,AIPlayer,1,PINK,26,38,38,26,0.001,30,0.0,0.036,30,1.2
2025-12-11T16:20:00.407397,False,AIPlayer,1,RandomAI,-,PINK,28,36,36,28,0.033,30,1.1,0.001,30,0.0
2025-12-11T16:20:00.443855,True,RandomAI,-,AIPlayer,1,PINK,17,47,47,17,0.001,30,0.0,0.029,30,1.0
2025-12-11T16:20:00.484624,False,AIPlayer,1,RandomAI,-,PINK,31,33,33,31,0.033,30,1.1,0.001,30,0.0
2025-12-11T16:20:00.524761,True,RandomAI,-,AIPlayer,1,PINK,24,40,40,24,0.001,31,0.0,0.033,29,1.1
2025-12-11T16:20:00.564616,False,AIPlayer,1,RandomAI,-,BLUE,42,22,42,22,0.033,30,1.1,0.001,30,0.0
2025-12-11T16:20:00.608963,True,RandomAI,-,AIPlayer,1,BLUE,45,19,45,19,0.001,31,0.0,0.037,29,1.3
2025-12-11T16:20:00.652839,False,AIPlayer,1,RandomAI,-,BLUE,43,21,43,21,0.037,31,1.2,0.001,29,0.0
2025-12-11T16:20:00.696583,True,RandomAI,-,AIPlayer,1,PINK,19,45,45,19,0.001,30,0.0,0.037,30,1.2
2025-12-11T16:20:00.739776,False,AIPlayer,1,RandomAI,-,BLUE,37,27,37,27,0.036,30,1.2,0.001,30,0.0
2025-12-11T16:20:00.779879,True,RandomAI,-,AIPlayer,1,PINK,17,47,47,17,0.001,30,0.0,0.033,30,1.1
2025-12-11T16:20:00.819132,False,AIPlayer,1,RandomAI,-,PINK,27,37,37,27,0.033,31,1.0,0.001,29,0.0
2025-12-11T16:20:00.868044,True,RandomAI,-,AIPlayer,1,PINK,28,36,36,28,0.001,30,0.0,0.042,30,1.4
2025-12-11T16:20:00.911438,False,AIPlayer,1,RandomAI,-,BLUE,53,11,53,11,0.037,31,1.2,0.001,29,0.0
2025-12-11T16:20:00.962799,True,RandomAI,-,AIPlayer,1,PINK,21,43,43,21,0.001,30,0.0,0.044,30,1.5
2025-12-11T16:20:01.004853,False,AIPlayer,1,RandomAI,-,BLUE,45,19,45,19,0.035,32,1.1,0.001,28,0.0
2025-12-11T16:20:01.041853,True,RandomAI,-,AIPlayer,1,PINK,20,44,44,20,0.001,30,0.0,0.03,30,1.0
2025-12-11T16:20:01.085308,False,AIPlayer,1,RandomAI,-,PINK,30,34,34,30,0.037,29,1.3,0.001,31,0.0
2025-12-11T16:20:01.131621,True,RandomAI,-,AIPlayer,1,PINK,29,35,35,29,0.001,30,0.0,0.039,30,1.3
2025-12-11T16:20:01.179940,False,AIPlayer,1,RandomAI,-,BLUE,44,20,44,20,0.041,30,1.4,0.001,30,0.0
2025-12-11T16:20:01.225182,True,RandomAI,-,AIPlayer,1,PINK,14,50,50,14,0.001,30,0.0,0.038,30,1.3
2025-12-11T16:20:01.268707,False,AIPlayer,1,RandomAI,-,BLUE,35,29,35,29,0.037,31,1.2,0.001,29,0.0
2025-12-11T16:20:01.314881,True,RandomAI,-,AIPlayer,1,BLUE,40,24,40,24,0.001,30,0.0,0.039,30,1.3
2025-12-11T16:20:01.355717,False,AIPlayer,1,RandomAI,-,BLUE,41,23,41,23,0.034,30,1.1,0.001,30,0.0
2025-12-11T16:20:01.393322,True,RandomAI,-,AIPlayer,1,PINK,26,38,38,26,0.001,30,0.0,0.03,30,1.0
2025-12-11T16:20:01.440293,False,AIPlayer,1,RandomAI,-,BLUE,37,27,37,27,0.04,30,1.3,0.001,30,0.0
2025-12-11T16:20:01.483140,True,RandomAI,-,AIPlayer,1,PINK,22,42,42,22,0.001,29,0.0,0.036,31,1.2
2025-12-11T16:20:01.522333,False,AIPlayer,1,RandomAI,-,PINK,31,33,33,31,0.032,30,1.1,0.001,30,0.0
